Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
l1_lf,-2.22044604925031E-16,0.0161380765502627,-4.56316275036442E-16,0,0,0,0.0354240975198172,1.19875947961147E-05,-2.13263964022363E-21,-7.33488191014619E-20,1.51151619022726E-05,2.13963190133912E-20,1.1987594796115E-05,0,0,0,0,0,0,package://tryd/meshes/l1_lf.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l1_lf.STL,,leftside-1/centerdisc-1,ltfcentercs,ltfa,j1_lf,revolute,0,0.021,0,0,0,0,l2_lf,0,1,0,100,50,-1,1,,,,,,,,
l3_lf1,-0.039890520885456,0.0139999805842647,0.0482877619143034,0,0,0,0.0557316685279918,2.9383594808173E-05,1.71794212345427E-11,3.17214857391781E-05,7.11411212518156E-05,-9.52903547387969E-13,4.4238339767228E-05,0,0,0,0,0,0,package://tryd/meshes/l3_lf1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l3_lf1.STL,,leftside-1/connector-1,ltfccs1,ltfa1,j3_lf1,revolute,0.0221395963706941,0,0.0202444627625115,0,0,0,l1_lf,0,1,0,5,2,-1.57,1.57,,,,,,,,
l3_lf2,-0.0218731667180357,0.0139999963361724,-0.0586901161937509,0,0,0,0.0557315697331413,6.79962251119331E-05,-6.97971974385823E-12,-9.42841026848174E-06,7.11410429570174E-05,-6.43225259767416E-12,5.62562886846014E-06,0,0,0,0,0,0,package://tryd/meshes/l3_lf2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l3_lf2.STL,,leftside-1/connector-2,ltfccs2,ltfa2,j3_lf2,revolute,-0.0286020172236509,0,0.00905122150529837,0,0,0,l1_lf,0,1,0,5,2,-1.57,1.57,,,,,,,,
l3_lf3,0.0617637124928111,0.0139999968767433,0.0104023340469134,0,0,0,0.0557315625814885,1.30530330158623E-05,8.49372065270058E-12,-2.22930491678964E-05,7.11410210328686E-05,-4.12729702469112E-12,6.05687943902666E-05,0,0,0,0,0,0,package://tryd/meshes/l3_lf3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l3_lf3.STL,,leftside-1/connector-3,ltfccs3,ltfa3,j3_lf3,revolute,0.00646242085295634,0,-0.0292956842678118,0,0,0,l1_lf,0,1,0,5,2,-1.57,1.57,,,,,,,,
l4_lf1,-0.00923381104475832,0.034999994095162,-0.0714290415484533,0,0,0,0.505772953745336,0.00167808497691178,8.26319642440281E-11,3.52903616168433E-05,0.00170285394460607,-1.5505323776128E-10,0.000215051748561027,0,0,0,0,0,0,package://tryd/meshes/l4_lf1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l4_lf1.STL,,leftside-1/leg-1,ltfwlcs1,ltfwla1,j4_lf1,revolute,-0.0833137378878259,0,0.068722784279732,0,0,0,l2_lf,0,1,0,5,2,-1.57,1.57,,,,,,,,
l4_lf2,0.0664762662590837,0.0349999939314377,0.0277178088028784,0,0,0,0.505772947416741,0.000611372545879262,8.81537578001574E-11,-0.000651157114110024,0.00170285398015316,1.63471065645008E-10,0.00128176421269804,0,0,0,0,0,0,package://tryd/meshes/l4_lf2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l4_lf2.STL,,leftside-1/leg-2,ltfwlcs2,ltfwla2,j4_lf2,revolute,-0.0178588080611317,0,-0.106513205634961,0,0,0,l2_lf,0,1,0,5,2,-1.57,1.57,,,,,,,,
l4_lf3,-0.0572424609164388,0.0349999939510116,0.0437112317178428,0,0,0,0.505772946198787,0.00055024763982227,-3.2951950593386E-10,0.000615866596521772,0.00170285359288197,2.20888474671177E-11,0.0013428886545343,0,0,0,0,0,0,package://tryd/meshes/l4_lf3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l4_lf3.STL,,leftside-1/leg-3,ltfwlcs3,ltfwla3,j4_lf3,revolute,0.101172545948959,0,0.0377904213552303,0,0,0,l2_lf,0,1,0,5,2,-1.57,1.57,,,,,,,,
l2_rh,-3.36830535685451E-10,-0.0291950635763487,4.28708644196799E-11,0,0,0,0.196608557895127,0.000763606573342609,-3.65490886926954E-14,-5.68309199335565E-12,0.00128785105562992,-5.61468296489338E-14,0.000763606569139981,0,0,0,0,0,0,package://tryd/meshes/l2_rh.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://tryd/meshes/l2_rh.STL,,shaft-3;rightside-2/rim-1,rthwheelcs,rtha,j2_rh,revolute,-0.24,-0.128,-0.0100000000000005,0,0,0,base_link,0,1,0,100,50,-50,50,,,,,,,,
l1_rh,3.33066907387547E-16,-0.0161380765502627,-2.59802701229211E-16,0,0,0,0.0354240975198172,1.19875947961148E-05,3.00667227965954E-21,-2.09907678686929E-19,1.51151619022724E-05,-2.55217530715287E-20,1.19875947961148E-05,0,0,0,0,0,0,package://tryd/meshes/l1_rh.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l1_rh.STL,,rightside-2/centerdisc-1,rthcentercs,rtha,j1_rh,revolute,0,-0.021,0,0,0,0,l2_rh,0,1,0,100,50,-1,1,,,,,,,,
l3_rh1,-0.0398905245666619,-0.0140000194157354,0.0482877588732504,0,0,0,0.0557316685279918,2.93835899716076E-05,1.71794212623632E-11,3.17214846067285E-05,7.11411212518158E-05,-9.52902244450032E-13,4.42383446037936E-05,0,0,0,0,0,0,package://tryd/meshes/l3_rh1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l3_rh1.STL,,rightside-2/connector-2,rthccs1,rtha1,j3_rh1,revolute,0.0221466697670692,0,0.0202367244935632,0,0,0,l1_rh,0,1,0,5,2,-1.57,1.57,,,,,,,,
l3_rh2,-0.0218731622438033,-0.0140000036638276,-0.0586901178612386,0,0,0,0.0557315697331424,6.79962265494866E-05,-6.97971908871832E-12,-9.42840551367594E-06,7.1141042957026E-05,-6.43225272731068E-12,5.62562743091647E-06,0,0,0,0,0,0,package://tryd/meshes/l3_rh2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l3_rh2.STL,,rightside-2/connector-3,rthccs2,rtha2,j3_rh2,revolute,-0.0285988523843469,0,0.00906121638072405,0,0,0,l1_rh,0,1,0,5,2,-1.57,1.57,,,,,,,,
l3_rh3,0.0617637116997811,-0.0140000031232566,0.0104023387554438,0,0,0,0.0557315625814886,1.30530364148665E-05,8.49372129885543E-12,-2.22930527902414E-05,7.11410210328618E-05,-4.12729638947916E-12,6.05687909912549E-05,0,0,0,0,0,0,package://tryd/meshes/l3_rh3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l3_rh3.STL,,rightside-2/connector-1,rthccs3,rtha3,j3_rh3,revolute,0.00645218261727887,0,-0.0292979408742888,0,0,0,l1_rh,0,1,0,5,2,-1.57,1.57,,,,,,,,
l4_rh1,-0.00925877524108371,-0.0350000059049338,-0.0714258099295591,0,0,0,0.505772953738004,0.00167810946653814,8.25889579504914E-11,3.47790165882917E-05,0.0017028539447511,-1.55090972368229E-10,0.00021502725907718,0,0,0,0,0,0,package://tryd/meshes/l4_rh1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l4_rh1.STL,,rightside-2/leg-3,rthwlcs1,rthwla1,j4_rh1,revolute,-0.0833137378878267,0,0.0687227842797326,0,0,0,l2_rh,0,1,0,5,2,-1.57,1.57,,,,,,,,
l4_rh2,0.0664859496958403,-0.0350000060684984,0.0276945733610724,0,0,0,0.505772947420472,0.000610917463161868,8.8211146067208E-11,-0.000650922650205832,0.00170285398008393,1.63432435905341E-10,0.00128221929534754,0,0,0,0,0,0,package://tryd/meshes/l4_rh2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l4_rh2.STL,,rightside-2/leg-2,rthwlcs2,rthwla2,j4_rh2,revolute,-0.0178588080611333,0,-0.106513205634961,0,0,0,l2_rh,0,1,0,5,2,-1.57,1.57,,,,,,,,
l4_rh3,-0.0572271801527114,-0.0350000060490628,0.0437312355374892,0,0,0,0.505772946196363,0.000550678232784216,-3.29516063985472E-10,0.000616143477513115,0.0017028535928844,2.21949427423955E-11,0.0013424580615738,0,0,0,0,0,0,package://tryd/meshes/l4_rh3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l4_rh3.STL,,rightside-2/leg-1,rthwlcs3,rthwla3,j4_rh3,revolute,0.101172545948958,0,0.03779042135523,0,0,0,l2_rh,0,1,0,5,2,-1.57,1.57,,,,,,,,
l2_lh,-6.25409724008819E-11,0.0291950635841788,3.76880211515852E-10,0,0,0,0.196608558024231,0.000763606574391104,-7.46362509293662E-14,-5.11732375107032E-12,0.00128785105554405,-3.15558687097958E-14,0.000763606567996339,0,0,0,0,0,0,package://tryd/meshes/l2_lh.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://tryd/meshes/l2_lh.STL,,shaft-4;leftside-2/rim-1,lthwheelcs,ltha,j2_lh,revolute,-0.239999999999999,0.128,-0.0100000000000004,0,0,0,base_link,0,1,0,100,50,-50,50,,,,,,,,
l1_lh,4.44089209850063E-16,0.0161380765502627,-4.43160424709541E-17,0,0,0,0.0354240975198174,1.19875947961148E-05,-2.31094229866856E-20,1.03974922787296E-19,1.51151619022724E-05,-1.77603432333378E-20,1.19875947961147E-05,0,0,0,0,0,0,package://tryd/meshes/l1_lh.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l1_lh.STL,,leftside-2/centerdisc-1,lthcentercs,ltha,j1_lh,revolute,0,0.021,0,0,0,0,l2_lh,0,1,0,100,50,-1,1,,,,,,,,
l3_lh1,-0.0398905208854606,0.0139999805842646,0.0482877619143024,0,0,0,0.0557316685279916,2.93835948081688E-05,1.71794212065474E-11,3.17214857391771E-05,7.11411212518155E-05,-9.52903528718631E-13,4.42383397672321E-05,0,0,0,0,0,0,package://tryd/meshes/l3_lh1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l3_lh1.STL,,leftside-2/connector-3,lthccs1,ltha1,j3_lh3,revolute,0.0221395963706951,0,0.0202444627625122,0,0,0,l1_lh,0,1,0,5,2,-1.57,1.57,,,,,,,,
l3_lh2,-0.0218731667180396,0.0139999963361724,-0.0586901161937471,0,0,0,0.0557315697331413,6.79962251119317E-05,-6.97971975389212E-12,-9.42841026848676E-06,7.11410429570176E-05,-6.43225263882362E-12,5.62562886846182E-06,0,0,0,0,0,0,package://tryd/meshes/l3_lh2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l3_lh2.STL,,leftside-2/connector-1,lthccs2,ltha2,j3_lh2,revolute,-0.02860201722365,0,0.00905122150529934,0,0,0,l1_lh,0,1,0,5,2,-1.57,1.57,,,,,,,,
l3_lh3,0.0617637124928112,0.0139999968767434,0.0104023340469128,0,0,0,0.0557315625814885,1.30530330158617E-05,8.493720600818E-12,-2.22930491678959E-05,7.11410210328683E-05,-4.12729703909518E-12,6.05687943902669E-05,0,0,0,0,0,0,package://tryd/meshes/l3_lh3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l3_lh3.STL,,leftside-2/connector-2,lthccs3,ltha3,j3_lh1,revolute,0.00646242085295679,0,-0.0292956842678109,0,0,0,l1_lh,0,1,0,5,2,-1.57,1.57,,,,,,,,
l4_lh1,-0.00923381104475846,0.0349999940951619,-0.0714290415484631,0,0,0,0.505772953745337,0.00167808497691178,8.26319636486211E-11,3.52903616169901E-05,0.00170285394460608,-1.5505323819728E-10,0.000215051748561037,0,0,0,0,0,0,package://tryd/meshes/l4_lh1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l4_lh1.STL,,leftside-2/leg-3,lthwlcs1,lthwla1,j4_lh1,revolute,-0.0833137378878265,0,0.0687227842797328,0,0,0,l2_lh,0,1,0,5,2,-1.57,1.57,,,,,,,,
l4_lh2,0.0664762662590742,0.0349999939314377,0.0277178088028722,0,0,0,0.50577294741674,0.000611372545879095,8.81537569963557E-11,-0.000651157114109939,0.00170285398015315,1.63471063517967E-10,0.0012817642126982,0,0,0,0,0,0,package://tryd/meshes/l4_lh2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l4_lh2.STL,,leftside-2/leg-1,lthwlcs2,lthwla2,j4_lh2,revolute,-0.0178588080611337,0,-0.106513205634961,0,0,0,l2_lh,0,1,0,5,2,-1.57,1.57,,,,,,,,
l4_lh3,-0.0572424609164394,0.0349999939510118,0.0437112317178444,0,0,0,0.505772946198786,0.000550247639822273,-3.29519503801865E-10,0.00061586659652177,0.00170285359288197,2.20888480719286E-11,0.00134288865453429,0,0,0,0,0,0,package://tryd/meshes/l4_lh3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://tryd/meshes/l4_lh3.STL,,leftside-2/leg-2,lthwlcs3,lthwla3,j4_lh3,revolute,0.101172545948959,0,0.0377904213552296,0,0,0,l2_lh,0,1,0,5,2,-1.57,1.57,,,,,,,,
